sentence,label
"also, the fries are without a doubt the worst fries i've ever had.",0
go to place for gyros.,1
i will never go back to this place and will never ever recommended this place to anyone!,0
the replacement died in a few weeks.,0
good service-check!,1
better than expected.,1
disappointing accessory from a good manufacturer.,0
probably not in a hurry to go back.,0
"however, bt headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0
it is zillion times away from reality.,0
"technically, the film is well made with impressive camera-work, solid acting and effective music from riz ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.",1
i don't think there are any redeeming qualities in this remake.,0
"- really, really good rice, all the time.",1
maybe there would be a reasonable explanation for this atrocity.,0
they really want to make your experience a good one.,1
great service and food.,1
all in all its an insult to one's intelligence and a huge waste of money.,0
"she is as lovely as usual, this cutie!",1
"terrible product, and waste of money!",0
the movie is not completely perfect but 'titta di girolamo' will stay with you for a long time after the vision of the movie.,1
i would have given no star if i was able.,0
not even good for camp value!,0
this is essentially a communications tool that does not communicate.,0
they refuse to refund or replace.,0
the awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.,0
do not waste your money here!,0
bad purchase.,0
works like a charm.. works as advertised.,1
terrible service!,0
the seafood was fresh and generous in portion.,1
never going back.,0
"the film's dialogue is natural, real to life.",1
"no ear loop needed, it's tiny and the sound is great.",1
everything was gross.,0
the waitress and manager are so friendly.,1
i dressed up to be treated so rudely!,0
"if you look for authentic thai food, go else where.",0
did not like at all.,0
don't buy this product - it fails!.,0
the best electronics of the available fm transmitters.,1
don't bother - go to the store.,0
i got home to see the driest damn wings ever!,0
i usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
i'm not really sure how joey's was voted best hot dog in the valley by readers of phoenix magazine.,0
food was really boring.,0
now you know why i gave it a 10+!,1
battery charge-life is quite long.,1
"by the time the film ended, i not only disliked it, i despised it.",0
also notable is john bailey's fine crisp beautifully colored cinematography and the great production design & costumes by eiko ishioka who went on to do the memorable costumes for coppola's dracula for which she received a well deserved oscar.,1
brilliant!,1
not impressed.,0
very nice and relaxing late night viewing.,1
"at a time when it seems that film animation has been dominated by disney/pixar's cgi masterpieces, it is both refreshing and comforting to know that miyazaki is still relying on traditional hand-drawn animation to tell his charming and enchanting stories.",1
") a happy, wonderful, feel good ending!",1
"i went on motorola's website and followed all directions, but could not get it to pair again.",0
20th century fox's road house 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.,0
"omg, the food was delicioso!",1
cooked to perfection and the service was impeccable.,1
my husband and i ate lunch here and were very disappointed with the food and service.,0
the atmosphere here is fun.,1
do not make the same mistake as me.,0
why are these sad little vegetables so overcooked?,0
the battery works great!,1
"it features an outlandish array of memorable, psychotic but lovable nuts.",1
"total letdown, i would much rather just go to the camelback flower shop and cartel coffee.",0
the service here leaves a lot to be desired.,0
"for people who are first timers in film making, i think they did an excellent job!!",1
"in fact, i liked it better than interview with a vampire and i liked this lestat (stuart townsend) better than cruise's attempt.",1
the design is very good.4.,1
"almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.",0
this is an unbelievable bargain!,1
"it's an empty, hollow shell of a movie.",0
the two main characters may be two of the most believable children i ever saw put on screen.,1
spend your money and time some place else.,0
it failed to convey the broad sweep of landscapes that were a great part of the original.,0
not as good as i had hoped.,0
it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant.,0
so we went to tigerlilly and had a fantastic afternoon!,1
i can't tell you how disappointed i was.,0
this product is great... it makes working a lot easier i can go to the copier while waiting on hold for something.,1
"i have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
one of my favorite purchases ever.,1
thanks again to amazon for having the things i need for a good price!,1
"level 5 spicy was perfect, where spice didn't over-whelm the soup.",1
not good by any stretch of the imagination.,0
crostini that came with the salad was stale.,0
its reception is very very poor.,0
this is a very average phone with bad battery life that operates on a weak network.,0
i ordered this for sony ericsson w810i but i think it only worked once (thats when i first used it).,0
the only very disappointing thing was there was no speakerphone!!!!,0
go and see it!,1
the sweet potato fries were very good and seasoned well.,1
i exchanged the sony ericson z500a for this and i'm pretty happy with that decision.,1
it was so cool.,1
"only like 3 or 4 buildings used, a couple of locations maybe, & poor hummh!",0
freezes frequently4.,0
"very clear, quality sound and you don't have to mess with the sound on your ipod since you have the sound buttons on the headset.",1
we won't be returning.,0
very tough and very short on flavor!,0
nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1
"it's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
"however paul schrader has indeed made a film ""about"" mishima that is both superb & complex.",1
i found a six inch long piece of wire in my salsa.,0
just had lunch here and had a great experience.,1
at least think to refill my water before i struggle to wave you over for 10 minutes.,0
first - the bathrooms at this location were dirty- seat covers were not replenished & just plain yucky!!!,0
the worst phone from samsung...crap..... this crappy samsung e715.. is the worst i have ever seeen.,0
omit watching this.,0
an hour and a half i wish i could bring back.,0
i struggle to find anything bad to say about it.,1
would not recommend to others.,0
"it is wonderful and inspiring to watch, and i hope that it gets released again on to video or dvd.",1
"the screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
the cast of veteran actors are more than just a nostalgia trip.,1
"point your finger at any item on the menu, order it and you won't be disappointed.",1
i would recommend saving room for this!,1
"how can you call yourself a steakhouse if you can't properly cook a steak, i don't understand!",0
"special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.",1
it was that loud.glad to say that the plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
highly unrecommended.,0
"the acting was bad, the dialogs were extremely shallow and insincere.",0
"kathy bates is wonderful in her characters subtle desperation and escapism; a variation on her character in ""at play in the fields of the lord"".",1
there is nothing privileged about working/eating there.,0
"i'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.",1
"the soundtrack wasn't terrible, either.",1
i ordered this product first and was unhappy with it immediately.,0
service was fine and the waitress was friendly.,1
delicious!!,1
dont go here.,0
"i connected my wife's bluetooth,(motorola hs850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1
"this is an excellent tool, especially when paired with your phone's auto-answer.",1
i paid too much.,0
bad quality.,0
i wear it everyday and it holds up very well.,1
"artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.",0
o my gosh the best phone i have ever had.,1
my only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
"even in my bmw 3 series which is fairly quiet, i have trouble hearing what the other person is saying.",0
definitely a turn off for me & i doubt i'll be back unless someone else is buying.,0
and i really did find them funny.,1
i don't think we'll be going back anytime soon.,0
before i go in to why i gave a 1 star rating please know that this was my third time eating at bachi burger before writing a review.,0
i have read other's reviews here but i haven't had any problem with it.,1
"this place is not worth your time, let alone vegas.",0
it's a shame to see good actors like thomerson and james make a living in a mess like this.,0
"also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1
"i kept looking at the time and it had soon become 35 minutes, yet still no food.",0
my drink was never empty and he made some really great menu suggestions.,1
the ambiance was incredible.,1
the warm beer didn't help.,0
"every time i eat here, i see caring teamwork to a professional degree.",1
i'm probably one of the few people to ever go to ians and not like it.,0
not much seafood and like 5 strings of pasta at the bottom.,0
having to humour him just to get by and get through the day was so apt.,1
nothing at all to recommend.,0
this movie is so awesome!,1
you wont regret it!,1
we'd definitely go back here again.,1
i love the decor with the chinese calligraphy wall paper.,1
it came free with a dvd player i bought but i still turned the thing off halfway through because i was embarrassed for howell.,0
tried to go here for lunch and it was a madhouse.,0
"this movie is excellent!angel is beautiful and scamp is adorable!his little yelps when hes scared,and the funniest parts are when:scamp is caught under the curtain and when angel and scamp are singing 'ive never had this feeling before'.i totally recommend this movie,its coming out on special edition on june 20.the cover has scamp on a garbage can and angel underneath the lid.",1
i highly doubt that anyone could ever like this trash.,0
it was awesome.,1
they know how to make them here.,1
the movie seemed a little slow at first.,0
i think food should have flavor and texture and both were lacking.,0
easy to use.,1
the story line is just awful!,0
this was like the final blow!,0
"easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).",1
"bad day or not, i have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0
terrible management.,0
i'm pleased.,1
cinematography: the film was shot in an interesting way.,1
"with the originality and freshness of the first movie now spent, this remake had little else to offer.",0
this place was such a nice surprise!,1
very satisifed with that.,1
"i have seen many movies starring jaclyn smith, but my god this was one of her best, though it came out 12 years ago.",1
"in the summer, you can dine in a charming outdoor patio - so very delightful.",1
"however, the ear pads come off easily and after only one week i lost one.",0
this place should honestly be blown up.,0
i've missed numerous calls because of this reason.,0
leopard print is wonderfully wild!.,1
i love being able to use one headset for both by land-line and cell.,1
better than you'd expect.,1
too politically correct.,0
"unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.",0
linked to my phone without effort.,1
it doesn't work in europe or asia.,0
unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
i recently had problems where i could not stay connected for more than 10 minutes before being disconnected.,0
they dropped more than the ball.,0
it only recognizes the phone as its storage device.,0
it did not work in my cell phone plug i am very up set with the charger!.,0
i loved the bacon wrapped dates.,1
this is an excellent film.,1
the only place good for this film is in the garbage.,0
"the point is the journey, a journey that touches every member of the family.",1
will be back again!,1
better than new.,1
"the new characters weren't all that memorable, and i found myself forgetting who was who.",0
you can watch them preparing the delicious food!),1
this item is fantastic and works perfectly!,1
bt50 battery junk!.,0
great phone.,1
"if it were possible to give them zero stars, they'd have it.",0
your brain will attempt to shut-down as part of a primal impulse of self-preservation.,0
i did not have any problem with this item and would order it again if needed.,1
"bad fit, way too big.",0
"if i take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
"this really is how vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
"but if you liked movies like the matrix (and better yet, their sequels) i think you'll appreciate the thought provoking, mindblowing experience this film will give you.",1
just spicy enough.. perfect actually.,1
great earpiece.,1
i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer.,0
extremely tasty!,1
the characters are interesting and you really care for them.,1
excellent wallet type phone case.,1
i love this device.,1
the sound quality is good and functionality is awesome.,1
i would highly recommend this.,1
"i really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.",1
"both of them were truly unbelievably good, and i am so glad we went back.",1
"the only thing really worth watching was the scenery and the house, because it is beautiful.",1
love this phone.,1
everything is appalling.,0
#1 it works - #2 it is comfortable.,1
you get what you pay for i guess.,0
what a waste of money and time!.,0
at no point in the proceedings does it look remotely like america.,0
"it was very popular when i was in the cinema, a good house and very good reactions and plenty of laughs.",1
this is by far the worst purchase i've made on amazon.,0
cant get the software to work with my computer.,0
crust is not good.,0
talk about useless customer service.,0
"saggy, floppy piece of junk.",0
so far so good!.,1
the music in the film is really nice too.,1
big disappointment with calendar sync.,0
i am more than happy with this product.,1
i'm really disappointed all i have now is a charger that doesn't work.,0
don't buy this product.,0
"helen baxendale is a very credible lady macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.",1
the cashier was friendly and even brought the food out to me.,1
case was more or less an extra that i originally put on but later discarded because it scratched my ear.,0
"this convention never worked well in the past, and certainly doesn't work here.",0
this is an outstanding little restaurant with some of the best food i have ever tasted.,1
it fits my ear well and is comfortable on.,1
which are small and not worth the price.,0
the pairing of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature.,1
there were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.,0
product was excellent and works better than the verizon one and boy was it cheaper!,1
everything about it is fine and reasonable for the price i.e.,1
very unreliable service from t-mobile !,0
"it's a sad movie, but very good.",1
the chicken wings contained the driest chicken meat i have ever eaten.,0
"gotta love those close-ups of slimy, drooling teeth!",1
"product is useless, since it does not have enough charging current to charge the 2 cellphones i was planning to use it with.",0
a great touch.,1
this is infuriating.,0
i would highly recommend this product.,1
the story is also both funny and poignant at times.,1
a good film by a great director!,1
"verizon tech support walked my through a few procedures, none of which worked and i ended up having to do a hard re-set, wiping out all my data.",0
i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end.,1
don't waste your $$$ on this one.,0
"good case, excellent value.",1
doesn't work.,0
not good for the money.,0
"try them in the airport to experience some tasty food and speedy, friendly service.",1
horrible!,0
"i have been here several times in the past, and the experience has always been great.",1
it would take too long to describe how bad my customer service experience has been with amazon.,0
i really liked that.,1
so flavorful and has just the perfect amount of heat.,1
the cutouts and buttons are placed perfectly.,1
i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably.,1
a piece of junk that broke after being on my phone for 2 days!!!,0
stay away from the q!.,0
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
you won't be disappointed.,1
"it's close to my house, it's low-key, non-fancy, affordable prices, good food.",1
buyer--be very careful!!!!!.,0
i probably won't be coming back here.,0
"i guess i should have known that this place would suck, because it is inside of the excalibur, but i didn't use my common sense.",0
the jabra eargels fit my ears very well.,1
"the burger... i got the ""gold standard"" a $17 burger and was kind of disappointed.",0
a disappointment.,0
what a disappointment,0
"no, i'm going to eat the potato that i found some strangers hair in it.",0
the holster that arrived did not match the photo in the ad.,0
one thing i hate is the mode set button at the side.,0
"a truly, truly bad film.",0
the foreigner is not worth one second of your time.,0
"if there is a wind, it is completely useless.",0
"same evening, him and i are both drastically sick.",0
what a big waste of time.,0
this is the phone to get for 2005.... i just bought my s710a and all i can say is wow!,1
essentially you can forget microsoft's tech support.,0
"not frightening in the least, and barely comprehensible.",0
it's worth driving up from tucson!,1
i must say i have taped most of the episodes and i find myself watching them over and over again.,1
i got it because it was so small and adorable.,1
my ribeye steak was cooked perfectly and had great mesquite flavor.,1
say bye bye to your tip lady!,0
"victor mclaglen was even bad, and brian donlevy was almost unrecognizable.",0
great phone.,1
the croutons also taste homemade which is an extra plus.,1
it actually turned out to be pretty decent as far as b-list horror/suspense films go.,1
"as an earlier review noted, plug in this charger and nothing happens.",0
the restaurant is very clean and has a family restaurant feel to it.,1
the buffet at bellagio was far from what i anticipated.,0
i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
people couldnt hear me talk and i had to pull out the earphone and talk on the phone.,0
some highlights : great quality nigiri here!,1
worked perfectly!,1
the interplay between martin and emilio contains the same wonderful chemistry we saw in wall street with martin and charlie.,1
i never walked out of a movie faster.,0
"again, no plot at all.",0
the food was excellent and service was very good.,1
"after 3 months, screen just went black all of a sudden.",0
it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes.,1
i used bitpim (a free program you can find on the internet)to transfer data to the phone.the price of the cable was excellent.,1
"one nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1
walked in and the place smelled like an old grease trap and only 2 others there eating.,0
one of the few places in phoenix that i would definately go back to again .,1
will not be back!,0
"that being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1
i've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
i was shocked because no signs indicate cash only.,0
"the writer, gorman bechard, undoubtedly did his homework because all references are industry and character-age appropriate.",1
the camera really likes her in this movie.,1
but it picked up speed and got right to the point.,1
"a greasy, unhealthy meal.",0
this is cool because most cases are just open there allowing the screen to get all scratched up.,1
"no allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0
great product.,1
nice sound.,1
great time - family dinner on a sunday night.,1
"all in all, ha long bay was a bit of a flop.",0
kind of flops around.,0
"bad characters, bad story and bad acting.",0
i highly recommend these and encourage people to give them a try.,1
the last 3 times i had lunch here has been bad.,0
"the acting was decidely wooden, though no worse than a period universal b movie.",0
it was a riot to see hugo weaving play a sex-obsessed gay real estate salesman who uses his clients' houses for his trysts with the flaming darren (tom hollander).,1
it doesn't make you look cool.,0
the entire audience applauded at the conclusion of the film.,1
